Cell ID,EPCAM
DTC2_159438,1.31
DTC2_613788,0
DTC2_357420,1.38
DTC2_699774,2.75
DTC2_294065,0
DTC2_840432,2.16
DTC2_462714,1.31
DTC2_439695,1.63
DTC2_821945,1.05
DTC2_840193,1.79
DTC2_721696,4.19
DTC2_837685,1.4
DTC2_45299,2.69
DTC2_339696,2.01
DTC2_356008,1.2
DTC2_20898,2.6
DTC2_845805,1.99
DTC2_30061,1.62
DTC2_168561,1.68
DTC2_864462,3.4
DTC2_698068,1.49
DTC2_779455,2.48
DTC2_258430,3.37
DTC2_172275,1.53
DTC2_144715,4.14
DTC2_308921,1.56
DTC2_862320,2.81
DTC2_530710,2.89
DTC2_429949,1.88
DTC2_163382,1.67
DTC2_268934,3.3
DTC2_770444,1.94
DTC2_870713,1.67
DTC2_400179,1.45
DTC2_523271,2.05
DTC2_369078,1.53
DTC2_615940,1.57
DTC2_549788,0.9
DTC2_29266,1.21
DTC2_198370,0.85
DTC2_491852,2.91
DTC2_130081,2.62
DTC2_336479,2.39
DTC2_541996,0
DTC2_839739,2.77
DTC2_781259,3.34
DTC2_328275,2.6
DTC2_187795,0
DTC2_185774,0.79
DTC2_299539,1.46
DTC2_22060,1.43
DTC2_804001,2.73
DTC2_556478,1.79
DTC2_317229,1.31
DTC2_861588,2
DTC2_507199,1.63
DTC2_503908,0.36
DTC2_323399,4.11
DTC2_281187,1.88
DTC2_493714,0.22
DTC2_525176,1.34
DTC2_584015,0.89
DTC2_212072,1.7
DTC2_575508,5.81
DTC2_207000,1.43
DTC2_738412,2.37
DTC2_396572,3.29
DTC2_540589,1.72
DTC2_225510,1.87
DTC2_129547,1.49
DTC2_6199,2.82
DTC2_368411,3.86
DTC2_16852,2.32
DTC2_177977,4.57
DTC2_177984,1.81
DTC2_359187,2.88
DTC2_476951,0.62
DTC2_239137,5.65
DTC2_711856,1.46
DTC2_678454,2.53
DTC2_323276,2.33
DTC2_413908,3.64
DTC2_102627,0.88
DTC2_537689,1.07
DTC2_476115,2.22
DTC2_868335,3.28
DTC2_505386,3.15
DTC2_54237,2.14
DTC2_718482,0
DTC2_180752,0
DTC2_412839,2.91
DTC2_427656,1.04
DTC2_594652,1.75
DTC2_5706,2.74
DTC2_592353,3.74
DTC2_571474,2.54
DTC2_82133,4.28
DTC2_10633,1.13
DTC2_152804,3.13
DTC2_535408,2.57
DTC2_651084,3.79
DTC2_620095,0.98
DTC2_443208,2.87
DTC2_846085,0.71
DTC2_209707,1.08
DTC2_182959,1.85
DTC2_110613,1.26
DTC2_628095,3.01
DTC2_623638,1.79
DTC2_624443,3.07
DTC2_487385,3.85
DTC2_337344,0.97
DTC2_134014,1.26
DTC2_442379,1.13
DTC2_233134,1.52
DTC2_819867,0
DTC2_282455,1.37
DTC2_703491,3.75
DTC2_764676,2.81
DTC2_626906,3.1
DTC2_478883,0
DTC2_705392,4.44
DTC2_58136,0
DTC2_386817,2.97
DTC2_648751,1.87
DTC2_104154,4.36
DTC2_149892,1.78
DTC2_567671,2.46
DTC2_512782,1.38
DTC2_543507,3.06
DTC2_736950,1.67
DTC2_488676,0.91
DTC2_152752,2
DTC2_197236,2.12
